name,aliases,category,source,external_id,search_text,calories_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,sodium_100g,sugar_100g,saturated_fat_100g,brands,original_name_en
Lorstamed,{},outros,ai_estimated,7896523202822,lorstamed,,,,,,,,,,Lorstamed
Atrovent,{},outros,ai_estimated,7896026300216,atrovent,,,,,,,,,,Atrovent
Curativo Transparente,{},outros,ai_estimated,7891800341966,curativo transparente,,,,,,,,,,Curativo Transparente
Fita Microporosa,{},outros,ai_estimated,7896544900158,fita microporosa,,,,,,,,,,Fita Microporosa
Água Boricada 3%,{},outros,ai_estimated,7896902212756,água boricada 3%,,,,,,,,,,Água Boricada 3%
Esparadrapo Impermeável,{},outros,ai_estimated,7891800276527,esparadrapo impermeável,,,,,,,,,,Esparadrapo Impermeável
Nisulid,{},outros,ai_estimated,7896658005084,nisulid,,,,,,,,,,Nisulid
Omo,{},outros,ai_estimated,2000000137908,omo,,,,,,,,,,
7896275970376,{},outros,ai_estimated,7896275970376,7896275970376,,,,,,,,,,
Desinfetante,{},outros,ai_estimated,7891024194102,desinfetante,,,,,,,,,,
123@#$RAbia,{},outros,ai_estimated,7896263503654,123@#$rabia,,,,,,,,,123rabia,123@#$RAbia
Lava-louças Ypê Neutro,{},outros,ai_estimated,7896098900208,lava-louças ypê neutro,,,,,,,,,Ypê,
Bicarbonato de sodio,{},outros,ai_estimated,7896902206380,bicarbonato de sodio,,,,,,,,,,
Salt Plus! Original,{},outros,ai_estimated,7896005223475,salt plus! original,,,,,,,,,Águia,
Língua portuguesa,{},outros,ai_estimated,9788541821315,língua portuguesa,,,,,,,,,geração alpha,
Vitoria fraterna Surda,{},outros,ai_estimated,6980201761129,vitoria fraterna surda,,,,,,,,,ofc.vitoria_fraterna_23,
Escala,{},outros,ai_estimated,7898064270988,escala,,,,,,,,,,
Flanax 550mg,{},outros,ai_estimated,7891106006507,flanax 550mg,,,,,,,,,,Flanax 550mg
Allegra 60mg,{},outros,ai_estimated,7891058024314,allegra 60mg,,,,,,,,,,Allegra 60mg
Coagulante Líquido Enzima Quimosina Microbiana para Fabricação de Queijos,{},outros,ai_estimated,7896273400011,coagulante líquido enzima quimosina microbiana para fabricação de queijos,,,,,,,,,Ha-La,
Água Platina S/Gás 510ml,{},outros,ai_estimated,7898955519042,água platina s/gás 510ml,,,,,,,,,,
Gelo Cubo Bi-Filtrado,{},outros,ai_estimated,7898925601418,gelo cubo bi-filtrado,,,,,,,,,Gelotec,
Gelo Escama,{},outros,ai_estimated,7898925014027,gelo escama,,,,,,,,,Gelotec,
Repelente elétrico L12 P10 Refil Noite Tranquila,{},outros,ai_estimated,7891035024696,repelente elétrico l12 p10 refil noite tranquila,,,,,,,,,,
Absolute Zero,{},outros,ai_estimated,49911848,absolute zero,,,,,,,,,Monster Energy,Absolute Zero
Hidramais,{},outros,ai_estimated,7896369161499,hidramais,,,,,,,,,,
Mistério,{},outros,ai_estimated,7894900095104,mistério,,,,,,,,,Fanta,Mistério
Refrigerante Orgânico Lemon Sour Zero Sódio Wewi Garrafa 255ml,{},outros,ai_estimated,7898950338471,refrigerante orgânico lemon sour zero sódio wewi garrafa 255ml,,,,,,,,,WEWI,
Água Tônica Prata Zero Lata 269ml,{},outros,ai_estimated,7897123885996,água tônica prata zero lata 269ml,,,,,,,,,PRATA,
Adoçante Em Pó Sucralose Zero Sódio Linea Forno Fogão Pote 70g,{},outros,ai_estimated,7896001250789,adoçante em pó sucralose zero sódio linea forno fogão pote 70g,,,,,,,,,SUCRALOSE,
Adoçante Em Pó Eritritol Zero Lactose Zero Cal Caixa 150g 30 Unidades,{},outros,ai_estimated,7896094919624,adoçante em pó eritritol zero lactose zero cal caixa 150g 30 unidades,,,,,,,,,ZERO CAL,
Refrigerante Coca Cola Coca S/acucar Lv Pg Pet 2l 7894900027488,{},outros,ai_estimated,7894900027488,refrigerante coca cola coca s/acucar lv pg pet 2l 7894900027488,,,,,,,,,COCA COLA,
Sal Rosa Do Himalaia Grosso Com Moedor Integral Br Spices Salt Selection Vidro 100g,{},outros,ai_estimated,7898946900552,sal rosa do himalaia grosso com moedor integral br spices salt selection vidro 100g,,,,,,,,,HIMALAYA,
"Sal De Parrilla Com Pimenta Do Reino Para Churrasco Br Spices Frasco 1,04kg",{},outros,ai_estimated,7898635642312,"sal de parrilla com pimenta do reino para churrasco br spices frasco 1,04kg",,,,,,,,,BR SPICES,
Sal De Parrilla Para Churrasco Br Spices Frasco 330g,{},outros,ai_estimated,7898635640202,sal de parrilla para churrasco br spices frasco 330g,,,,,,,,,BR SPICES,
Sal Rosa Do Himalaia Com Moedor Ervas Finas Br Spices Gourmet Vidro 100g,{},outros,ai_estimated,7898946900965,sal rosa do himalaia com moedor ervas finas br spices gourmet vidro 100g,,,,,,,,,BR SPICES,
Coca light 310ml,{},outros,ai_estimated,7894900131154,coca light 310ml,,,,,,,,,COCA-COLA,
Sal Marinho Com Moedor Integral Br Spices Salt Selection Vidro 100g,{},outros,ai_estimated,7898946900958,sal marinho com moedor integral br spices salt selection vidro 100g,,,,,,,,,BR SPICES,
"Sal De Parrilla Uruguaio Com Salsa Criolla Para Churrasco Br Spices Frasco 1,01kg",{},outros,ai_estimated,7898635643470,"sal de parrilla uruguaio com salsa criolla para churrasco br spices frasco 1,01kg",,,,,,,,,BR SPICES,
